Code,forPNG,Latin name,Morphotyper,CodeMJ,Subfamily,Description,Note
CAMP 038,TRUE,"Camponotus hastifer Emery, 1911",Petr 2016/01,?,Formicinae,"cf. sp. 16 and 18, by size and less hairs on head of majors reminds sp. 18, but face-shape and color as sp. 16, compare to both it has very pointed and prolonged tip of petiolus in both castes",very good fit to photos on antweb
CAMP 039,FALSE,Colobopsis sp. 39 aff. sp. 36 (aruensis group),Justine,,Formicinae,"resembles sp. 36 from Numba, but much less pointed propodeum",700 m
CAMP 040,FALSE,Camponotus sp. 40 aff. sp. 35,Petr 2019/02,,Formicinae,"cf. sp. 35, but long golden hairs, especially on pronotal dorsum and hairy head and clypeus, head more narrow/longish, dark scapus","Exxon, mid-elev."
CAMP 041,FALSE,Camponotus sp. 41 aff. sp. 3,Phil 2021,,Formicinae,"medium sized species, Camp.related perhaps to sp. 3, but with high propodeum that has a very steep declivity and meets mesonotum at a blunt right angle (similar to eg. CAMP 033), so the mesonotum has overall box-like appearance as in Echinopla, and no protuberances or spines. Fine striation of lateral sides of thorax, black color with light coxae. Compared to CAMP033 it is much more slender and has no white dots on abdomen. Compare to sp. 3 less hairy with rather lower/blunt petiolus",Numba
CAMP 042,FALSE,Colobopsis sp. 42 aff. sp. 14,Phil 2021,,Formicinae,"Only singleton major, light colored and similar thorax shape as sp. 14. But major has very distinct median carina in frontal view that is covered in strongly whitish developed setae on both sides as brushes alongside of median carina + small apressed satae allover. Color yellow with brown head as in sp. 14,compared to sp. 14 majors much lower petiolus and strong line on mid-frons",Numba
CARD 001,TRUE,"Cardiocondyla obscurior Wheeler, 1929",,?,Myrmicinae,"brownish yellow dotty sculptured body and black abd., clypeus with very sharp side angles, broad petiolus, small (less than 2 mm), prop. spines of medium lenght",Wanang / *C. wheeleri very similar bur much longer straight spines (types) / C. wroughtonii also close to this sp.
CARD 002,TRUE,"Cardiocondyla sp. 2 aff. thoracina (Smith, 1859)",Petr 2014/03,,Myrmicinae,"yellow sp. with black abdomen only, medium long propodeal spines are straight, it also has prothoracal quadrishaped corners (prothorax not really rounded but  the corners are not sharp),  small (bellow 2 mm), scapus do not reach head margin and are light colored as whole",Yawan / C. thoracina closest but distinct (more sharp proth. corners and dark head with smaller pits = tiny sparse dots only)
CARD 003,FALSE,Cardiocondyla sp. 3 aff. sp. 2,Petr 2014/03,,Myrmicinae,"yellow sp. with black abdomen only, very close to sp. 2 but spines longer and curved down and more fine punctation on head, larger  (2 mm), scaous reach the head margin and have darker pedinculus - can not find similar sp. in PNG Cardiocondyla on Antweb","Jimmy, 2200 m"
CARD 004,FALSE,Cardiocondyla papuana,Justine,,Myrmicinae,"larger than sp. 1 but also shorter prop. spines x has light colored abdomen (whole body very light), dots on frons smaller and present only in top half of head, thorax even from lateral view","UNKN555 (Justine, 200 m asl.)"
CARD 005,FALSE,"Cardiocondyla cf. paradoxa Emery, 1897",Petr 2017/08,,Myrmicinae,"larger and curved spines as sp. 3, sharper proth. corners as sp. 2: x  whole body dark with very long petiolus and yet more quadrishaped prothorax from above, very soft and not dense pits on the head","Baitabag / very close to photos on Antweb of ""paradoxa"" but whole body brown (not lighter color thorax - not clear if variety or this sp. or new)"
CARD 006,FALSE,Cardiocondyla sp. 6,Petr 2017/10,,Myrmicinae,"small and light whole body, prothoracal corners enlarged and sharp as in sp.2, propodeal spines almost missing (sharp angle only as e.g. C. nuda), body and petiolus as typical Card. otherwise But has sharp sabre-like manibles typical for parasitic/predatory species, male eragtoid cast but species unclear","Wanang / ergatoid male - only such image found for PNG taxa for C. wroughtonii but that has smaller eyes and diff. shape of petiolus, C. obscurior also has them but abdomen should be darker?"
CARD 007,FALSE,"Cardiocondyla nuda (Mayr, 1866)",Petr 2018/06,,Myrmicinae,"diff. from sp. 1-6, closest to emeryi, nuda, tjibodana, minutior - to confimr sp. ID with experts later - ided by Seifert based on spc measurements",Exxon lowlands
CARD 008,FALSE,"Cardiocondyla thoracica (Smith, 1859)",Petr 2019/02,,Myrmicinae,"sp. with light thorax and legs but dark head and abodmen, reminds sp. 5 but it has yet much lighter thorax, smooth its sides, and petiolus is more rounded with shorter pedinculus than in sp. 5",Exxon 1000 m 3A
CARD 009,FALSE,Cardiocondyla sp. 9 aff. papuana,Petr 2019/03,,Myrmicinae,"small light yellow cardioc. incl. andomen, with fine dots an pits = as sp. 4 but longer prop. spines, petiolus has less narrow pedinculus and clypeus with deep mid-cut",Exxon 1000 m 3A
CARD 010,FALSE,Cardiocondyla sp. 10 aff. sp. 3,Petr 2019/08,,Myrmicinae,"yellow sp. with black abdomen only, very close to sp. 3 (size, color, punctation, thorax, scapous length) but spines are shorter and straight (not curved down as in sp. 2),   compared to sp. 2 it is much smaller and with puncation and thorax rather as sp. 3), scapus overall rather brown with darker pedinculus","Exxon 1A, highlands"
CARE 001,TRUE,"Carebara minima (Emery, 1900)",,OLIG 001,Myrmicinae,"very tiny sp. similar to Solenopsis but has also tiny propodeal spines, propodeal flanges visible, prothorax smooth but petiolus and rest of thorax with dotty sculpture, majors lines over the head and no horns on the frons, *great match of both minors and majors with antweb type",
CARE 002,TRUE,"Carebara atoma Emery, 1900",,?,Myrmicinae,"w-very tiny brown sp., about 1 mm only, darker head than rest of body, small flanges going up to a sharp corners (not really like spines), sculpture on side of thorax and on the head, tiny eyes like dot, majors-much bigger with head with lines and dots and two spiny corners in upper frons",--- before missid. as SOLE 001!
CARE 003,TRUE,Carebara sp. 3,,?,Myrmicinae,"size of CARE 002  but brown and dotty whole body, except postpetiolus and abdomen which is ligher and smooth,very  prominent propodeal flanges and sharp prop. corners up of the flange (but not distinct spines - compare with sp. 9!), very tiny sp., sculptural (dotty).",former missid label. as Sole 003 /Numba popul. has less evident prop. spines (sep. species or variation?)
---CARE 004,FALSE,Carebara sp. 4 cf. sp. 2,,?,Myrmicinae,"according photo is is probably same as 002!!!! x  ---very tiny, something between the two sp. CARE 002 and 003- also somewhat darker head than rest of the body as 002, but more sculptered head wih lines near eyes as in 003",according photo is is probably same as 002-changed
CARE 005,FALSE,"Carebara cf. armata   (Donisthorpe, 1948",Petr,,Myrmicinae,"minor w. very similar to CARE001, but  more apparent lines close to eyes on the head and also few lines and dots in upper frons and dots on petiolus, majors very different with small horns as sp.2 but smooth frons",Yawan
CARE 006,TRUE,"Carebara crassiuscula (Emery, 1900)",Petr,,Myrmicinae,"quite large Carebara resembling Solenopsis papuana, but soft sculpture on the side of petiolus and propodeum, otherwise smooth,  and smaller eyes (only 1 ommatidium), has no median seta but also no visible spines (only prop. flanges), compared to Carebara from png this one has no prop spines (only flange) and major no frontal horns as in sp. 1 (x compared to sp.1 soldier they have different sculpture on the head, and different shape of thorax from lateral view, are quite similar to some Pheidole!)",former SOLE 002 / no availbale data for soldiers in Antweb/Antwiki (we have a soldier from Exxon project)
CARE 007,TRUE,"Carebara melanocephala Donisthorpe, 1948",,?,Myrmicinae,"only 2segmented club, medium propodeal spines, smooth prothorax and head, dotty sides of thorax, very small eyes as Solenopsis, soldier smooth frons - should be affinis (good match with description and alex Wilds photos, majors have teeth on madibulas unlike melanocephalum)",former Pheidologeton (tax. chnage in Schmidt et al 2014)
CARE 008,FALSE,Carebara sp. 8 aff sp. 5,Petr 2015/04,,Myrmicinae,"minor w. very similar to CARE001, but  got less dotty propodeum (almost smooth patch close to spines from side view, rather larger pits than dots), more apparent lines close to eyes on the head and also few lines in upper frons, found in high altitude x compare to CARE005 from Yawan majors have smoother head without up corners, and minors have larger head with lined on upper frons.","M. Leponce samples(Formner put same as Yawan CARE005, updated on 15/04/2015"
CARE 009,FALSE,Carebara sp. 9 aff. sp. 3,Petr 2017/07,,Myrmicinae,"very simialr to sp. 3 but has distinct short spines on propodeum, not a flange from bottom to up to sharp corners only, also smooth patch above clypeus","renamed singleton PK-EE116 (former sp. 3, from eradication tube bait)"
CERA 001,TRUE,"Cerapachys cf. flavaclavatus Donisthorpe, 1938",,?,Dorylinae,"new class. Parasyscia genus/  Cera is similar to Ponerinae, but very large distinct petiolus, antenas deep bellow eyes, two ridges on clypeus between eyes, pygidium with tiny spines, this species relatively small (but variable in size, minors and majors), smooth with few dots and red-brown color, narrow long thorax.","near flavaclavatus - match more than with it with MJ CERA 002 on antweb but brown body, not really black¨, also compared with ANIC collection, except of darker colour and more dense hairs on petiolus it matches very well"
CERA 002,FALSE,"Cerapachys desposyne Wilson, 1959",,?,Dorylinae,"new class. Parasyscia genus/  much larger and darker than CERA 001, more hairy (hard to see spines in tip of the gaster because of long hairs, but they are there!), dotty head and thorax","match very well with antweb and MJ photos, but a bit darker legs and higher thorax, material in ANIC matches well with it, likely this sp."
CERA 003,FALSE,"Cerapachys marginatus (Emery, 1897)",,?,Dorylinae,"new class. Lioponera genus/ large CERA (size of sp. 2) with large eyes, glossy black head and body,  less hairs, petiolus and porpodeum got sharp-edges in right angles",match very well with antweb
CERA 004,TRUE,"Cerapachys opacus Emery, 1901",Petr 2015/04,?,Dorylinae,"new class. Parasyscia genus/ large CERA (size of sp. 2) with deep puncation all over incl.head and petiolus with tiny spine bellow,straight soft longitudinal lines on dorsum of thorax and abdomen","Numba 700m, great fit with ant web photo"
CERA 005,FALSE,Cerapachys sp. 5,Petr 2015/06,,Dorylinae,"has  few dots on propodeum and first abd.segment otherwise glossy and smooth), ligher coloured petiolus and postpetiolus with soft dots, orherwise blackish, reminds sp. 1 but much larger with wider thorax and thorax is less smooth lateral/posteriorily, size of sp. 4 but no lines on dorsal of petiolus.",Numba 700m
CERA 006,FALSE,Cerapachys sp. 6,Petr 2015/06,,Dorylinae,"slender Cera of black glossy color, no dots and lines, very narrow long head with eyes anterioraly, quadrishaped petiolus from its dorsum, propodeum without sharp corners *does n ot fit with antweb sp. (closest to dominula which has diff. head and light color)",Numba 700m
CERA 007,FALSE,Cerapachys sp. 7 aff. desposine,Petr 2015/06,,Dorylinae,"new class. Parasyscia genus/ / very close to Cera sp.2 x dark black color and many more dense hairs on frons and upper thorax, head rather numerous rugolous pits with hairs rather than glossy with deep pits (the same for upper thorax).",Numba 700m
